document_title,question_text,short_answer,yes_no_answer
Therefore sign,what do the 3 dots mean in math,"[{'short_answer1': [{'end_byte': 66609, 'end_token': 819, 'start_byte': 66588, 'start_token': 816}]}, {'short_answer2': [{'end_byte': 66817, 'end_token': 837, 'start_byte': 66645, 'start_token': 826}]}, {'short_answer3': [{'end_byte': 66609, 'end_token': 819, 'start_byte': 66595, 'start_token': 817}]}]",NONE
Watchman (law enforcement),when was the writ watch invented by who,[],NONE
Photograph (Ringo Starr song),who wrote the song photograph by ringo starr,"[{'short_answer1': [{'end_byte': 49415, 'end_token': 353, 'start_byte': 49404, 'start_token': 351}, {'end_byte': 49699, 'end_token': 373, 'start_byte': 49684, 'start_token': 371}]}, {'short_answer2': [{'end_byte': 45727, 'end_token': 126, 'start_byte': 45712, 'start_token': 124}, {'end_byte': 45804, 'end_token': 129, 'start_byte': 45789, 'start_token': 127}]}, {'short_answer3': [{'end_byte': 49415, 'end_token': 353, 'start_byte': 49404, 'start_token': 351}, {'end_byte': 49699, 'end_token': 373, 'start_byte': 49684, 'start_token': 371}]}]",NONE
Super Bowl 50 halftime show,who is playing the halftime show at super bowl 2016,"[{'short_answer1': [{'end_byte': 58191, 'end_token': 200, 'start_byte': 58183, 'start_token': 199}, {'end_byte': 58391, 'end_token': 205, 'start_byte': 58383, 'start_token': 204}, {'end_byte': 58456, 'end_token': 208, 'start_byte': 58446, 'start_token': 206}]}, {'short_answer2': [{'end_byte': 58456, 'end_token': 208, 'start_byte': 58122, 'start_token': 196}]}, {'short_answer3': [{'end_byte': 58191, 'end_token': 200, 'start_byte': 58183, 'start_token': 199}, {'end_byte': 58391, 'end_token': 205, 'start_byte': 58383, 'start_token': 204}, {'end_byte': 58456, 'end_token': 208, 'start_byte': 58446, 'start_token': 206}]}]",NONE
Matt Lanter,star wars the clone wars anakin voice actor,"[{'short_answer1': [{'end_byte': 59658, 'end_token': 179, 'start_byte': 59616, 'start_token': 173}]}, {'short_answer2': [{'end_byte': 59658, 'end_token': 179, 'start_byte': 59616, 'start_token': 173}]}, {'short_answer3': [{'end_byte': 59658, 'end_token': 179, 'start_byte': 59616, 'start_token': 173}]}]",NONE
A Whiter Shade of Pale,meaning behind the song whiter shade of pale,[],NONE
Globe,where is most distortion found on a globe,[],NONE
List of A Certain Scientific Railgun episodes,to aru kagaku no railgun s episode 3,"[{'short_answer1': [{'end_byte': 118757, 'end_token': 8183, 'start_byte': 118738, 'start_token': 8180}]}]",NONE
List of Seraph of the End chapters,when do new chapters of owari no seraph come out,[],NONE
Surname,where does the last name painter come from,[],NONE
Dominance (genetics),dominant alleles are always the most common allele in a population,[],NONE
List of woods,an eastern red cedar is a hardwood or softwood,[],NONE
Ahmedabad textile industry,what are the challenges faced by the cotton textile industry of ahmedabad,[],NONE
2017 BBC Sports Personality of the Year Award,who won the 2017 sports personality of the year,"[{'short_answer1': [{'end_byte': 40758, 'end_token': 104, 'start_byte': 40750, 'start_token': 102}]}, {'short_answer2': [{'end_byte': 40758, 'end_token': 104, 'start_byte': 40750, 'start_token': 102}]}, {'short_answer3': [{'end_byte': 40758, 'end_token': 104, 'start_byte': 40750, 'start_token': 102}]}, {'short_answer4': [{'end_byte': 40758, 'end_token': 104, 'start_byte': 40750, 'start_token': 102}]}]",NONE
I've Got the Joy Joy Joy Joy,i got the joy joy joy down in my heart lyrics,[],NONE
Sports in the Las Vegas metropolitan area,is there a basketball team in las vegas,[],YES
Windsor Castle,who lives in the grounds of windsor castle,[],NONE
List of protected areas of the Philippines,list of environmentally critical areas in the philippines,[],NONE
"After the Bath, Woman Drying Herself",after the bath woman drying herself elements of design,[],NONE
Super-G,what’s the difference between downhill and super g,[],NONE
World Economic Forum,where was the world economic forum held this year,"[{'short_answer1': [{'end_byte': 149783, 'end_token': 287, 'start_byte': 149583, 'start_token': 272}]}, {'short_answer2': [{'end_byte': 167448, 'end_token': 1306, 'start_byte': 167443, 'start_token': 1305}]}, {'short_answer3': [{'end_byte': 167448, 'end_token': 1306, 'start_byte': 167443, 'start_token': 1305}]}, {'short_answer4': [{'end_byte': 149783, 'end_token': 287, 'start_byte': 149583, 'start_token': 272}]}]",NONE
Redwood National and State Parks,where are the giant redwoods located in california,"[{'short_answer1': [{'end_byte': 47252, 'end_token': 85, 'start_byte': 47237, 'start_token': 83}, {'end_byte': 47361, 'end_token': 89, 'start_byte': 47345, 'start_token': 86}]}, {'short_answer2': [{'end_byte': 77595, 'end_token': 2365, 'start_byte': 77476, 'start_token': 2354}]}, {'short_answer3': [{'end_byte': 51798, 'end_token': 325, 'start_byte': 51720, 'start_token': 320}]}]",NONE
List of Premier League players with 500 or more appearances,who has made the most premier league appearances,"[{'short_answer1': [{'end_byte': 46229, 'end_token': 213, 'start_byte': 46217, 'start_token': 211}]}, {'short_answer2': [{'end_byte': 49394, 'end_token': 371, 'start_byte': 49382, 'start_token': 369}]}, {'short_answer3': [{'end_byte': 46229, 'end_token': 213, 'start_byte': 46217, 'start_token': 211}]}, {'short_answer4': [{'end_byte': 49394, 'end_token': 371, 'start_byte': 49382, 'start_token': 369}]}]",NONE
List of Chief Ministers of West Bengal,who was the first chief minister of west bengal,"[{'short_answer1': [{'end_byte': 60460, 'end_token': 355, 'start_byte': 60438, 'start_token': 352}]}, {'short_answer2': [{'end_byte': 60460, 'end_token': 355, 'start_byte': 60438, 'start_token': 352}]}, {'short_answer3': [{'end_byte': 60460, 'end_token': 355, 'start_byte': 60438, 'start_token': 352}]}, {'short_answer4': [{'end_byte': 78491, 'end_token': 925, 'start_byte': 78469, 'start_token': 922}]}]",NONE
Got My Mind Set on You,who sings got my mind set on you,"[{'short_answer1': [{'end_byte': 56137, 'end_token': 46, 'start_byte': 56128, 'start_token': 44}, {'end_byte': 56400, 'end_token': 89, 'start_byte': 56385, 'start_token': 87}]}]",NONE
List of psychological research methods,two main types of research methods used in psychology,"[{'short_answer1': [{'end_byte': 50490, 'end_token': 323, 'start_byte': 50456, 'start_token': 320}, {'end_byte': 50725, 'end_token': 342, 'start_byte': 50690, 'start_token': 339}]}, {'short_answer2': [{'end_byte': 50254, 'end_token': 312, 'start_byte': 50234, 'start_token': 310}, {'end_byte': 50345, 'end_token': 315, 'start_byte': 50324, 'start_token': 313}]}, {'short_answer3': [{'end_byte': 50245, 'end_token': 311, 'start_byte': 50234, 'start_token': 310}, {'end_byte': 50336, 'end_token': 314, 'start_byte': 50324, 'start_token': 313}]}]",NONE
I Only Have Eyes for You (Buffy the Vampire Slayer),i only have eyes for you buffy episode,[],NONE
What We Do in the Shadows,who plays peter in what we do in the shadows,"[{'short_answer1': [{'end_byte': 55344, 'end_token': 1237, 'start_byte': 55332, 'start_token': 1235}]}, {'short_answer2': [{'end_byte': 55344, 'end_token': 1237, 'start_byte': 55332, 'start_token': 1235}]}, {'short_answer3': [{'end_byte': 55344, 'end_token': 1237, 'start_byte': 55332, 'start_token': 1235}]}, {'short_answer4': [{'end_byte': 55344, 'end_token': 1237, 'start_byte': 55332, 'start_token': 1235}]}]",NONE
Republic Day (India),who was the chief guest of india on independence day 2017,"[{'short_answer1': [{'end_byte': 127861, 'end_token': 2637, 'start_byte': 127734, 'start_token': 2630}]}]",NONE
Grey's Anatomy (season 14),when does the 14th season of grey's anatomy come out,"[{'short_answer1': [{'end_byte': 45409, 'end_token': 227, 'start_byte': 45391, 'start_token': 223}]}, {'short_answer2': [{'end_byte': 45409, 'end_token': 227, 'start_byte': 45391, 'start_token': 223}]}, {'short_answer3': [{'end_byte': 45409, 'end_token': 227, 'start_byte': 45391, 'start_token': 223}]}, {'short_answer4': [{'end_byte': 45409, 'end_token': 227, 'start_byte': 45391, 'start_token': 223}]}]",NONE
